slug,name,cluster,task1_issue,task2_issue,task3a_issue,task3b_issue,status,notes
actual-budget,Actual Budget,Finance,2471,2476,2486,2491,done,
alist,AList,Storage,2472,2477,2487,2492,removed_not_mvp_compatible,admin credential has no working delivery mechanism (app hashes plaintext internally) - recipe deleted 2026-08-24
code-server,Code-Server,Notebook/dev env,2473,2478,2488,2493,done,logo aspect 2.02 vs ASPECT_HARD 2.00 - accepted as false-positive (IF-1533)
metabase,Metabase,Finance-adjacent (BI),2474,2479,2489,2494,done,
joomla,Joomla,CMS,2475,2480,2490,2495,removed_not_mvp_compatible,admin credential has no working delivery mechanism (app hashes plaintext internally) - recipe deleted 2026-08-24
ezbookkeeping,ezBookKeeping,Finance,2660,2674,2673,,done,"batch 7 done, 0 errors"
firefly-iii,Firefly III,Finance,2578,2588,2583,,done,"confirmed done, verified with af-validate earlier"
ghostfolio,Ghostfolio,Finance,2597,2604,2603,,done,batch 5 done
dolibarr,Dolibarr,Finance-adjacent (ERP),2526,2546,2536,2566,removed_not_mvp_compatible,admin credential has no working delivery mechanism (app hashes plaintext internally) - recipe deleted 2026-08-24
bewcloud,bewCloud,Storage,2702,2735,2734,,done,"batch 9 done, 0 errors"
cloudreve,Cloudreve,Storage,2596,2602,2601,,done,batch 5 done
nextcloud,Nextcloud,Storage,2503,2523,2513,2576,removed_not_mvp_compatible,admin credential has no working delivery mechanism (app hashes plaintext internally) - recipe deleted 2026-08-24
kan,Kan,Kanban,2617,2639,2638,,done,batch 6 done
kaneo,Kaneo,Kanban,2657,2668,2667,,done,"batch 7 done, 0 errors"
jupyterlab,JupyterLab,Notebook/dev env,2504,2524,2514,2562,done,confirmed done (batch 2)
jupyter-notebook,Jupyter Notebook,Notebook/dev env,2661,2676,2675,,done,"batch 7 done, 0 errors"
marimo,Marimo,Notebook/dev env,2614,2633,2632,,done,batch 6 done
classicpress,ClassicPress,CMS,2662,2678,2677,,removed_not_mvp_compatible,admin credential has no working delivery mechanism (app hashes plaintext internally) - recipe deleted 2026-08-24
formbricks,Formbricks,Surveys,2532,2552,2542,2571,removed_not_mvp_compatible,"open signup shares port with anonymous survey traffic, basic_auth can't gate it - recipe deleted 2026-08-24"
limesurvey,LimeSurvey,Surveys,2505,2525,2515,2563,removed_not_mvp_compatible,admin credential has no working delivery mechanism (app hashes plaintext internally) - recipe deleted 2026-08-24
healthchecks,Healthchecks,Monitoring,2500,2520,2510,2559,done,confirmed done (batch 2)
bugsink,BugSink,Monitoring,2528,2548,2538,2577,done,"logo found via selfhst/icons stage (find_source.py fixed, commit 2e49ce00)"
ntfy,ntfy,Monitoring-adjacent,2529,2549,2539,2568,done,"confirmed done, verified with af-validate earlier"
meshcentral,MeshCentral,Monitoring-adjacent,2619,2643,2642,,done,"no usable logo found (upstream gap, confirmed exhausted)"
ampache,Ampache,Media library,2703,2737,2736,,done,"batch 9 done, 0 errors"
audiobookshelf,Audiobookshelf,Media library,2502,2522,2512,2561,done,confirmed done (batch 2)
kavita,Kavita,Media library,2704,2739,2738,,done,"batch 9 done, 0 errors"
misskey,Misskey,Social/federation,2530,2550,2540,2569,done,"confirmed done, verified with af-validate earlier"
big-agi,Big-AGI,AI tooling,2527,2547,2537,2567,done,"confirmed done, verified with af-validate earlier"
new-api,New API,AI tooling,2620,2645,2644,,done,batch 6 done
notediscovery,NoteDiscovery,AI tooling-adjacent,2621,2647,2646,,done,batch 6 done
backrest,Backrest,Standalone,2705,2741,2740,,done,"batch 9 done, 0 errors"
baserow,Baserow,Standalone,2622,2649,2648,,done,fixed invalid category (f77ed77d)
grist,Grist,Standalone,2580,2590,2585,,done,"confirmed done, verified with af-validate earlier"
drawio,draw.io,Standalone,2706,2743,2742,,done,"batch 9 done, 0 errors"
