slug,name,description,cluster
actual-budget,Actual Budget,Privacy-focused personal finance app with envelope budgeting,Finance
ezbookkeeping,ezBookKeeping,Lightweight personal finance tracker with mobile PWA and receipt scanning,Finance
firefly-iii,Firefly III,Professional self-hosted personal finance and budget manager,Finance
ghostfolio,Ghostfolio,Open-source wealth management software for tracking investment portfolios,Finance
dolibarr,Dolibarr,Open-source ERP/CRM platform for managing business operations,Finance-adjacent (ERP)
metabase,Metabase,Open-source business intelligence platform for data visualization and analytics,Finance-adjacent (BI)
alist,AList,Self-hosted file list and WebDAV server with support for 30+ storage backends,Storage
bewcloud,bewCloud,Lightweight self-hosted cloud storage with file sync and CalDAV/CardDAV support,Storage
cloudreve,Cloudreve,Self-hosted cloud storage platform with file management and sharing capabilities,Storage
nextcloud,Nextcloud,Self-hosted productivity platform,Storage
kan,Kan,"Open-source Kanban board and project management tool, a Trello alternative",Kanban
kaneo,Kaneo,Open-source project management with kanban boards and GitHub integration,Kanban
jupyterlab,JupyterLab,Web-based interactive development environment for notebooks and code,Notebook/dev env
jupyter-notebook,Jupyter Notebook,"Interactive web environment for live code, data analysis, and visualizations",Notebook/dev env
code-server,Code-Server,VS Code running in the browser for remote development from any device,Notebook/dev env
marimo,Marimo,Open-source reactive Python notebook with SQL support and reproducible execution,Notebook/dev env
classicpress,ClassicPress,WordPress fork without Gutenberg block editor focused on stability,CMS
joomla,Joomla,Open-source CMS for building dynamic websites and web applications,CMS
formbricks,Formbricks,"Open-source survey platform for in-app, link, website, and email feedback",Surveys
limesurvey,LimeSurvey,Professional online survey platform for creating and managing questionnaires,Surveys
healthchecks,Healthchecks,Cron job and background task monitoring with instant alerts,Monitoring
bugsink,BugSink,Self-hosted error tracking platform for application monitoring,Monitoring
ntfy,ntfy,Self-hosted push notification server for sending alerts via simple HTTP requests,Monitoring-adjacent
meshcentral,MeshCentral,"Remote monitoring/management for desktops, servers, and IoT devices",Monitoring-adjacent
ampache,Ampache,Web-based audio/video streaming application and media manager,Media library
audiobookshelf,Audiobookshelf,Self-hosted audiobook and podcast server with multi-user support,Media library
kavita,Kavita,"Self-hosted digital library for comics, manga, and ebooks",Media library
misskey,Misskey,Federated social media platform with emoji reactions and fediverse connectivity,Social/federation
big-agi,Big-AGI,Multi-model AI workspace with parallel model comparison across 500+ LLMs,AI tooling
new-api,New API,LLM gateway and AI asset management system for multiple providers,AI tooling
notediscovery,NoteDiscovery,Self-hosted markdown knowledge base with graph view and AI integration,AI tooling-adjacent
backrest,Backrest,"Web UI for restic backups with scheduling, encryption, and file-level restore",Standalone
baserow,Baserow,Open-source no-code database and Airtable alternative for teams,Standalone
