slug,task1_issue,task1_cost_usd,task1_iterations,task2_issue,task2_cost_usd,task2_iterations,task3_issue,task3_cost_usd,task3_iterations,task3b_issue,task3b_cost_usd,task3b_iterations,total_cost_usd,total_iterations,pipeline_status
actual-budget,2471,1.1643,2,2476,1.2006,2,2486,0.5205,1,2491,0.5372,2,3.4225,7,done
alist,2472,1.7699,2,2477,0.4368,2,2487,0.273,1,2492,0.6322,2,3.1119,7,done
code-server,2473,1.2701,2,2478,2.0575,4,2488,0.5079,1,2493,0.5341,2,4.3695,9,done
metabase,2474,1.2556,2,2479,1.1204,2,2489,0.3742,1,2494,0.6131,2,3.3633,7,done
joomla,2475,0.7283,2,2480,0.4944,2,2490,0.4174,1,2495,0.2838,2,1.9239,7,done
ezbookkeeping,2660,0.9057,2,2674,0.812,2,2673,0.6449,2,,0,0,2.3626,6,done
firefly-iii,2578,1.0549,2,2588,0.3847,2,2583,0.9633,3,,0,0,2.4029,7,done
ghostfolio,2597,1.1344,2,2604,1.1626,2,2603,0.7522,2,,0,0,3.0492,6,done
dolibarr,2526,1.1999,2,2546,1.3318,2,2536,0.7387,1,2566,0.5967,2,3.8671,7,done
bewcloud,2702,0.9327,2,2735,1.8365,2,2734,0.7114,2,,0,0,3.4806,6,done
cloudreve,2596,1.0578,2,2602,0.8526,2,2601,0.8468,2,,0,0,2.7572,6,done
nextcloud,2503,1.1076,2,2523,1.6734,2,2513,0.4562,1,2576,0.5847,2,3.8219,7,done
kan,2617,1.154,2,2639,0.9719,2,2638,1.0486,4,,0,0,3.1745,8,done
kaneo,2657,0.808,2,2668,1.0482,2,2667,0.8315,2,,0,0,2.6877,6,done
jupyterlab,2504,1.0528,2,2524,1.3947,2,2514,0.2772,1,2562,0.5653,2,3.29,7,done
jupyter-notebook,2661,0.9373,2,2676,0.788,2,2675,0.6288,2,,0,0,2.354,6,done
marimo,2614,1.2032,2,2633,0.3133,2,2632,0.8658,2,,0,0,2.3823,6,done
classicpress,2662,0.3859,2,2678,0.4264,2,2677,0.6645,2,,0,0,1.4768,6,done
formbricks,2532,1.3038,2,2552,0.8443,2,2542,0.6183,2,2571,0.5535,2,3.32,8,done
limesurvey,2505,0.8882,2,2525,0.4875,2,2515,0.2915,1,2563,0.6066,2,2.2739,7,done
healthchecks,2500,1.1625,2,2520,1.4991,2,2510,0.3629,1,2559,0.555,2,3.5796,7,done
bugsink,2528,1.3446,2,2548,1.2337,2,2538,0.4886,1,2577,0.6011,2,3.668,7,done
ntfy,2529,1.3211,2,2549,1.6402,2,2539,0.3714,1,2568,0.5407,2,3.8735,7,done
meshcentral,2619,1.0592,2,2643,1.8592,2,2642,2.0185,3,,0.3766,2,5.3134,9,done
ampache,2703,0.8628,2,2737,1.2557,2,2736,0.9406,2,,0,0,3.0592,6,done
audiobookshelf,2502,1.153,2,2522,1.3176,2,2512,0.3971,1,2561,0.6423,2,3.51,7,done
kavita,2704,0.7668,2,2739,0.6772,2,2738,0.6095,2,,0,0,2.0535,6,done
misskey,2530,1.0077,2,2550,1.34,2,2540,0,1,2569,0.5832,2,2.9309,7,done
big-agi,2527,1.1702,2,2547,0.4644,2,2537,0.3127,1,2567,0.5986,2,2.546,7,done
new-api,2620,1.0253,2,2645,0.9661,2,2644,2.4401,4,,0,0,4.4315,8,done
notediscovery,2621,0.9129,2,2647,1.448,2,2646,0.6686,2,,0,0,3.0295,6,done
backrest,2705,0.9971,2,2741,1.0237,2,2740,0.7528,2,,0,0,2.7736,6,done
baserow,2622,1.0653,2,2649,1.1538,2,2648,0.6431,2,,0,0,2.8622,6,done
grist,2580,1.0004,2,2590,1.0317,2,2585,0.2955,2,,0,0,2.3276,6,done
drawio,2706,1.0976,2,2743,1.086,2,2742,0.6927,2,,0,0,2.8764,6,done
erugo,2707,0.7897,2,2745,0.9945,2,2744,0.6089,2,,0,0,2.3931,6,done
flagsmith,2708,0.7756,2,2747,1.0262,2,2746,0.6673,2,,0,0,2.4692,6,done
glpi,2709,0.8683,2,2749,0.9382,2,2748,1.369,2,,0,0,3.1755,6,done
hedgedoc,2665,1.0739,2,2684,0.9558,2,2683,0.6311,2,,0,0,2.6609,6,done
hievents,2710,0.3724,2,2751,0.3323,2,2750,3.312,9,,0.4703,2,4.487,15,done
homarr,2533,1.531,4,2553,0.8496,2,2543,0.3208,2,2572,0.5937,2,3.2951,10,done
infisical,2711,1.0712,2,2753,0.9099,2,2752,3.1134,4,,0.5058,2,5.6003,10,done
listmonk,2712,0.8085,2,2755,1.1016,2,2754,0.7875,2,,0,0,2.6975,6,done
donetick,2713,0.8278,2,2757,0.9863,2,2756,0.6167,2,,0,0,2.4308,6,done
mealie,2714,0.3841,2,2759,0.2762,2,2758,0.5437,2,,0,0,1.204,6,done
opencloud,2663,1.05,2,2680,1.0378,2,2679,0.8766,2,,0,0,2.9644,6,done
open-notebook,2690,0.9601,2,2699,0.3273,2,2698,0.7532,2,,0,0,2.0406,6,done
openpanel,2715,0.9823,2,2761,1.2049,2,2760,0.6043,2,,0,0,2.7915,6,done
openproject,2531,1.1158,2,2551,1.2663,2,2541,0.3908,2,2570,0.5575,2,3.3304,8,done
plik,2716,0.7984,2,2763,1.1561,2,2762,1.4356,2,,0,0,3.3901,6,done
sure,2689,0.9043,2,2697,0.7769,2,2696,0.3139,2,,0,0,1.9951,6,done
wealthfolio,2613,1.07,2,2631,0.4998,2,2630,0.9281,2,,0,0,2.4979,6,done
sftpgo,2691,0.8587,2,2701,0.3195,2,2700,0.8415,4,,0,0,2.0198,8,done
vikunja,2498,1.2071,2,2518,1.6818,2,2508,0.4104,1,2557,0.678,2,3.9772,7,done
redmine,2598,1.1204,2,2606,0.8777,2,2605,0.5969,2,,0,0,2.595,6,done
redaxo,2615,1.0228,2,2635,0.3979,2,2634,1.1745,2,,0,0,2.5952,6,done
strapi,2593,0.3753,2,2595,0.3677,2,2594,1.9558,14,,0,0,2.6989,18,done
squidex,2688,1.0164,2,2695,0.9184,2,2694,0.6882,2,,0,0,2.623,6,done
radarr,2579,0.9245,2,2589,0.333,2,2584,0.9235,2,,0,0,2.181,6,done
sonarr,2612,0.9826,2,2629,0.7988,2,2628,1.0346,2,,0,0,2.816,6,done
qbittorrent,2664,0.9773,2,2682,0.4111,2,2681,0.6011,2,,0,0,1.9895,6,done
watcharr,2717,0.7693,2,2765,0.8952,2,2764,0.6254,2,,0,0,2.29,6,done
plausible-analytics,2600,0.9558,2,2610,0.3526,2,2609,1.0515,2,,0,0,2.3599,6,done
umami-analytics,2501,1.4374,2,2521,1.0451,4,2511,0.4039,1,2560,0.6065,2,3.4929,9,done
penpot,2623,1.8308,4,2651,1.2958,2,2650,0.85,2,,0,0,3.9765,8,done
tandoor-recipes,2718,0.9982,2,2767,0.4268,2,2766,0.8108,2,,0,0,2.2357,6,done
stirling-pdf,2719,0.8398,2,2769,0.7866,2,2768,1.0227,2,,0,0,2.6491,6,done
snapotter,2720,0.2987,2,2771,1.0254,2,2770,1.743,2,,0.3905,2,3.4575,8,done
reactive-resume,2721,0.816,2,2773,1.149,2,2772,0.7906,2,,0.4292,2,3.1848,8,done
readeck,2722,0.559,2,2775,0.6647,2,2774,0.7244,2,,0,0,1.9481,6,done
silverbullet,2666,0.677,2,2686,0.8767,2,2685,0.6848,2,,0,0,2.2385,6,done
siyuan,2723,0.6953,2,2777,0.7951,2,2776,0.5552,2,,0,0,2.0457,6,done
teable,2724,0.8938,2,2779,1.1136,2,2778,0.5837,2,,0,0,2.5911,6,done
twenty,2625,2.4017,6,2655,0.5374,2,2654,0.445,2,,0,0,3.3841,10,done
wbo,2725,0.9755,2,2781,0.8127,2,2780,0.5871,2,,0,0,2.3752,6,done
wikijs,2624,1.2204,2,2653,1.0796,2,2652,0.4115,2,,0,0,2.7115,6,done
wordpress,2496,1.2406,2,2516,1.2497,2,2506,0.3956,1,2556,0.5853,2,3.4713,7,done
yucca,2726,0.7442,2,2783,0.7222,2,2782,1.964,2,,0,0,3.4304,6,done
zabbix,2581,1.2711,2,2591,1.113,2,2586,0.7186,2,,0,0,3.1027,6,done
an-otter-wiki,2658,0.9126,2,2670,0.4434,2,2669,0.6543,2,,0,0,2.0103,6,done
bookstack,2499,1.2136,2,2519,1.763,2,2509,0.3464,1,2558,0.5744,2,3.8975,7,done
docmost,2599,0.9497,2,2608,0.865,2,2607,0.6558,4,,0,0,2.4705,8,done
grav,2618,1.2315,2,2641,1.1935,2,2640,0.8787,2,,0,0,3.3038,6,done
